_id,date,title,season,episode,duration,watched
1,2017.07.16,1,7,1,60,1
2,2017.07.23,1,7,2,60,1
3,2017.07.30,1,7,3,60,1
4,2017.08.06,1,7,4,60,1
5,2017.08.13,1,7,5,60,1
6,2017.08.20,1,7,6,60,1
7,2017.08.27,1,7,7,60,1
8,2017.10.06,2,7,1,42,0
9,2017.10.13,2,7,2,42,0
10,2017.10.20,2,7,3,42,0
11,2017.10.27,2,7,4,42,0
12,2017.11.03,2,7,5,42,0
13,2017.11.10,2,7,6,42,0
14,2017.11.17,2,7,7,42,0
15,2017.11.17,2,7,8,42,0
16,2017.12.08,2,7,9,42,0
17,2017.12.15,2,7,10,42,0
18,2018.03.02,2,7,11,42,0
19,,2,7,12,42,0
20,,2,7,13,42,0
21,,2,7,14,42,0
22,2017.10.11,3,3,1,45,1
23,2017.10.18,3,3,2,45,1
24,2017.10.25,3,3,3,45,1
25,2017.11.01,3,3,4,45,1
26,2017.11.08,3,3,5,45,1
27,2017.11.15,3,3,6,45,1
28,2017.11.22,3,3,7,45,1
29,2017.11.29,3,3,8,45,1
30,2017.12.06,3,3,9,45,1
31,2017.12.13,3,3,10,45,1
32,2017.09.28,4,14,1,42,1
33,2017.09.28,4,14,2,42,1
34,2017.10.05,4,14,3,42,1
35,2017.10.12,4,14,4,42,1
36,2017.10.26,4,14,5,42,1
37,2017.11.02,4,14,6,42,1
38,2017.11.09,4,14,7,42,1
39,2017.11.16,4,14,8,42,0
40,2018.01.18,4,14,9,42,0
41,2017.09.27,5,13,1,42,1
42,2017.10.04,5,13,2,42,1
43,2017.10.11,5,13,3,42,1
44,2017.10.18,5,13,4,42,1
45,2017.10.25,5,13,5,42,1
46,2017.11.08,5,13,6,42,1
47,2017.11.15,5,13,7,42,1
48,2017.11.22,5,13,8,42,1
49,2017.12.06,5,13,9,42,0
50,2018.01.03,5,13,10,42,0
51,2018.01.10,5,13,11,42,0
52,2018.01.17,5,13,12,42,0
53,2017.10.02,6,3,1,42,1
54,2017.10.09,6,3,2,42,1
55,2017.10.16,6,3,3,42,1
56,2017.10.23,6,3,4,42,1
57,2017.10.30,6,3,5,42,1
58,2017.11.06,6,3,6,42,1
59,2017.11.13,6,3,7,42,0
60,2017.11.20,6,3,8,42,0
61,2017.12.04,6,3,9,42,0
62,2017.12.11,6,3,10,42,0
63,2018.01.01,6,3,11,42,0
64,,6,3,12,42,0
65,,6,3,13,42,0
66,,6,3,14,42,0
67,,6,3,15,42,0
68,2017.11.29,7,5,1,45,0
69,2017.11.29,7,5,2,45,0
70,2017.12.06,7,5,3,45,0
71,2017.12.13,7,5,4,45,0
72,2017.12.20,7,5,5,45,0
73,2017.12.27,7,5,6,45,0
74,2018.01.03,7,5,7,45,0
75,2018.01.10,7,5,8,45,0
76,2018.01.17,7,5,9,45,0
77,2018.01.24,7,5,10,45,0
78,2017.09.26,8,15,1,40,1
79,2017.10.03,8,15,2,40,1
80,2017.10.10,8,15,3,40,1
81,2017.10.17,8,15,4,40,0
82,2017.10.24,8,15,5,40,0
83,2017.10.31,8,15,6,40,0
84,2017.11.07,8,15,7,40,0
85,2017.11.14,8,15,8,40,0
86,2017.11.21,8,15,9,40,0
87,2017.12.12,8,15,10,40,0
88,2018.01.02,8,15,11,40,0
89,2018.01.09,8,15,12,40,0
90,2017.10.01,9,9,1,40,1
91,2017.10.08,9,9,2,40,1
92,2017.10.15,9,9,3,40,1
93,2017.10.22,9,9,4,40,1
94,2017.10.29,9,9,5,40,1
95,2017.11.05,9,9,6,40,1
96,2017.11.12,9,9,7,40,0
97,2017.11.19,9,9,8,40,0
98,2017.11.26,9,9,9,40,0
99,2017.12.10,9,9,10,40,0
100,2017.12.17,9,9,11,40,0
101,2018.01.07,9,9,12,40,0
102,2018.01.14,9,9,13,40,0
103,2017.10.27,10,3,1,43,1
104,2017.11.03,10,3,2,43,1
105,2017.11.10,10,3,3,43,1
106,2017.11.17,10,3,4,43,1
107,2017.12.01,10,3,5,43,1
108,2017.12.08,10,3,6,43,1
109,2017.12.15,10,3,7,43,1
110,2017.12.22,10,3,8,43,1
111,2018.01.12,10,3,9,43,0
112,2018.01.19,10,3,10,43,0
113,,10,3,11,43,0
114,,10,3,12,43,0
115,,10,3,13,43,0
116,,10,3,14,43,0
117,,10,3,15,43,0
118,,10,3,16,43,0
119,2017.09.27,11,5,1,45,1
120,2017.10.04,11,5,2,45,1
121,2017.10.11,11,5,3,45,0
122,2017.10.18,11,5,4,45,0
123,2017.10.25,11,5,5,45,0
124,2017.11.01,11,5,6,45,0
125,2017.11.08,11,5,7,45,0
126,2017.11.15,11,5,8,45,0
127,2018.01.03,11,5,9,45,0
128,2018.01.10,11,5,10,45,0
129,2018.01.17,11,5,11,45,0
130,2017.10.12,12,6,1,42,1
131,2017.10.19,12,6,2,42,1
132,2017.10.26,12,6,3,42,0
133,2017.11.02,12,6,4,42,0
134,2017.11.09,12,6,5,42,0
135,2017.11.16,12,6,6,42,0
136,2017.11.23,12,6,7,42,0
137,2017.11.27,12,6,8,42,0
138,2017.12.07,12,6,9,42,0
139,2018.01.18,12,6,10,42,0
140,,12,6,11,42,0
141,,12,6,12,42,0
142,,12,6,13,42,0
143,,12,6,14,42,0
144,2017.09.25,13,11,1,22,1
145,2017.10.02,13,11,2,22,1
146,2017.10.09,13,11,3,22,1
147,2017.10.16,13,11,4,22,1
148,2017.10.23,13,11,5,22,1
149,2017.11.02,13,11,6,22,1
150,2017.11.09,13,11,7,22,1
151,2017.11.16,13,11,8,22,1
152,2017.11.30,13,11,9,22,1
153,2017.12.07,13,11,10,22,0
154,2017.12.14,13,11,11,22,0
155,2018.01.04,13,11,12,22,0
156,2018.01.11,13,11,13,22,0
157,2017.09.28,14,6,1,42,1
158,2017.10.05,14,6,2,42,1
159,2017.10.12,14,6,3,42,1
160,2017.10.19,14,6,4,42,1
161,2017.10.26,14,6,5,42,1
162,2017.11.02,14,6,6,42,0
163,2018.01.04,14,6,7,42,0
164,2018.01.11,14,6,8,42,0
165,2018.01.18,14,6,9,42,0
166,2018.01.25,14,6,10,42,0
167,2018.02.01,14,6,11,42,0
168,2017.09.25,15,4,1,42,1
169,2017.10.02,15,4,2,42,1
170,2017.10.09,15,4,3,42,1
171,2017.10.16,15,4,4,42,0
172,2017.10.23,15,4,5,42,0
173,2017.10.30,15,4,6,42,0
174,2017.11.06,15,4,7,42,0
175,2017.11.13,15,4,8,42,0
176,2017.11.20,15,4,9,42,0
177,2017.11.27,15,4,10,42,0
178,2017.12.11,15,4,11,42,0
179,2017.12.18,15,4,12,42,0
180,2018.01.15,15,4,13,42,0
181,2018.01.22,15,4,14,42,0
182,2018.01.29,15,4,15,42,0
183,2018.02.05,15,4,16,42,0
184,2017.11.13,16,3,1,27,1
185,2017.11.14,16,3,2,27,1
186,2017.11.15,16,3,3,27,1
187,2017.11.16,16,3,4,27,1
188,2017.11.17,16,3,5,27,1
189,2017.11.20,16,3,6,27,1
190,2017.11.21,16,3,7,27,1
191,2017.11.22,16,3,8,27,1
192,2017.11.23,16,3,9,27,1
193,2017.11.24,16,3,10,27,1
194,2017.11.27,16,3,11,27,1
195,2017.11.28,16,3,12,27,1
196,2017.11.29,16,3,13,27,1
197,2017.11.30,16,3,14,27,1
198,2017.12.01,16,3,15,27,1
199,2017.12.04,16,3,16,27,1
200,2017.12.05,16,3,17,27,1
201,2017.12.06,16,3,18,27,1
202,2017.12.07,16,3,19,27,1
203,2017.12.08,16,3,20,27,1
204,2017.12.11,16,3,21,27,1
205,2017.12.12,16,3,22,27,1
206,2017.12.13,16,3,23,27,1
207,2017.12.14,16,3,24,27,1
208,2017.12.15,16,3,25,27,0
209,2017.12.18,16,3,26,27,0
210,2017.12.19,16,3,27,27,0
211,2017.12.20,16,3,28,27,0
212,2017.12.21,16,3,29,27,0
213,2017.12.22,16,3,30,27,0
214,2017.12.25,16,3,31,27,0
215,2017.12.26,16,3,32,27,0
216,2017.12.27,16,3,33,27,0
217,2017.12.28,16,3,34,27,0
218,2017.12.29,16,3,35,27,0
219,2017.12.26,17,1,1,60,0
